project_id,project_name,project_type_name,dept_name,dept_sub_name,purchase_method_name,purchase_method_group_name,announce_date,project_money,price_build,sum_price_agree,budget_year,transaction_date,province,district,subdistrict,project_status,project_location,geom,winner_tin,winner,contract_no,contract_date,contract_finish_date,price_agree,status
57085094977,ประกวดราคาจ้างเหมาเอกชนขนมูลฝอยจากศูนย์กำจัดมูลฝอยสายไหมและนำไปทำลายโดยวิธีฝังกลบอย่างถูกสุขลักษณะ ด้วยวิธีการทางอิเล็กทรอนิกส์,จ้างทำของ/จ้างเหมาบริการ,กรุงเทพมหานคร,กองกำจัดมูลฝอย  สำนักสิ่งแวดล้อม,ประกวดราคาด้วยวิธีการทางอิเล็กทรอนิกส์,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,27 ส.ค. 57,"4,455,190,000","4,480,010,000","4,436,575,000",2558,13 ต.ค. 57,กรุงเทพมหานคร,ดินแดง,ดินแดง,ระหว่างดำเนินการ,"{'lat': 13.7780980259196, 'lon': 100.565063509801}",POINT(100.56506350980077 13.778098025919627),0735525000192,บริษัท วัสดุภัณฑ์ธุรกิจ จำกัด,สสล. 1/2558,13 ต.ค. 57,4 พ.ย. 67,"4,436,575,000",ระหว่างดำเนินการ
57055187213,ประกวดราคาเช่าเช่ารถบรรทุกน้ำอเนกประสงค์ ระยะที่ 3 จำนวน 220 คัน ด้วยวิธีการทางอิเล็กทรอนิกส์,เช่า,กรุงเทพมหานคร,สำนักงานสวนสาธารณะ สำนักสิ่งแวดล้อม กรุงเทพมหานคร,ประกวดราคาด้วยวิธีการทางอิเล็กทรอนิกส์,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,29 ก.ค. 57,"1,377,660,460","1,377,660,460","1,372,035,060",2558,22 ต.ค. 57,กรุงเทพมหานคร,ดินแดง,ดินแดง,ระหว่างดำเนินการ,"{'lat': 13.7780980259196, 'lon': 100.565063509801}",POINT(100.56506350980077 13.778098025919627),0105528040905,บริษัท อิทธิพรอิมปอร์ต จำกัด,สสล.3/2558,22 ต.ค. 57,1 ม.ค. 66,"1,372,035,060",ระหว่างดำเนินการ
57055063869,ประกวดราคาซื้อโครงการจัดหาเครื่องมือหนักสำหรับใช้ในการซ่อมบำรุงทาง ด้วยวิธีการทางอิเล็กทรอนิกส์,ซื้อ,กรุงเทพมหานคร,สำนักการโยธา กรุงเทพมหานคร,ประกวดราคาด้วยวิธีการทางอิเล็กทรอนิกส์,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,10 พ.ย. 57,"1,000,000,000","1,000,000,000","993,200,000",2558,15 ก.ค. 58,กรุงเทพมหานคร,ดินแดง,ดินแดง,ระหว่างดำเนินการ,"{'lat': 13.7780980259196, 'lon': 100.565063509801}",POINT(100.56506350980077 13.778098025919627),0105556183774,บริษัท วีก้า อินเตอร์เทรด จำกัด,สนย.10/2558,15 ก.ค. 58,9 ก.ค. 59,"993,200,000",ระหว่างดำเนินการ
58185000059,ประกวดราคาจ้างโครงการก่อสร้างถนนศรีนครินทร์ - ร่มเกล้า ช่วงที่ 2 ก่อสร้างถนนศรีนครินทร์ - ร่มเกล้า จากคลองหัวหมากถึงคลองลำสาลี ด้วยวิธีการทางอิเล็กทรอนิกส์,จ้างก่อสร้าง,กรุงเทพมหานคร,สำนักการโยธา กรุงเทพมหานคร,ประกวดราคาด้วยวิธีการทางอิเล็กทรอนิกส์,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,1 ม.ค. 44,"934,800,000","934,800,000","934,800,000",2558,23 ก.ค. 58,กรุงเทพมหานคร,ดินแดง,ดินแดง,ระหว่างดำเนินการ,"{'lat': 13.7780980259196, 'lon': 100.565063509801}",POINT(100.56506350980077 13.778098025919627),0993000328485,กิจการร่วมค้า KRR - KRC JV,สนย.51/2558,23 ก.ค. 58,-,"934,800,000",ระหว่างดำเนินการ
58185000047,ประกวดราคาจ้างโครงการก่อสร้างถนนศรีนครินทร์ - ถนนร่มเกล้า ช่วงที่ 1 ก่อสร้างทางแยกต่างระดับถนนศรีนครินทร์กับถนนกรุงเทพกรีฑาและก่อสร้างถนนจากถนนศรีนครินทร์ถึงคลองหัวหมาก ด้วยวิธีการทางอิเล็กทรอนิกส์,จ้างก่อสร้าง,กรุงเทพมหานคร,สำนักการโยธา กรุงเทพมหานคร,ประกวดราคาด้วยวิธีการทางอิเล็กทรอนิกส์,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,1 ม.ค. 44,"885,700,000","885,700,000","885,700,000",2558,20 ก.ค. 58,กรุงเทพมหานคร,ดินแดง,ดินแดง,ระหว่างดำเนินการ,"{'lat': 13.7780980259196, 'lon': 100.565063509801}",POINT(100.56506350980077 13.778098025919627),0105497000257,บริษัท สหการวิศวกร จำกัด,สนย.48/2558,20 ก.ค. 58,-,"885,700,000",ระหว่างดำเนินการ
58205000001,ประกวดราคาจ้างโครงการก่อสร้างถนนศรีนครินทร์ - ร่มเกล้า ช่วงที่ 7 ก่อสร้างทางแยกต่างระดับถนนถนนร่มเกล้ากับถนนเจ้าคุณทหาร   (โดยมีการประปานครหลวง  และการไฟฟ้านครหลวง ร่วมประมูล) ด้วยวิธีการทางอิเล็กทรอน,จ้างก่อสร้าง,กรุงเทพมหานคร,สำนักการโยธา กรุงเทพมหานคร,ประกวดราคาด้วยวิธีการทางอิเล็กทรอนิกส์,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,1 ม.ค. 44,"859,800,000","859,800,000","859,800,000",2558,1 ก.ย. 58,กรุงเทพมหานคร,ดินแดง,ดินแดง,ระหว่างดำเนินการ,"{'lat': 13.7780980259196, 'lon': 100.565063509801}",POINT(100.56506350980077 13.778098025919627),0313530000211,หจก.บุรีรัมย์ธงชัยก่อสร้าง,สนย.55/2558,1 ก.ย. 58,-,"859,800,000",ระหว่างดำเนินการ
58185000052,ประกวดราคาจ้างโครงการก่อสร้างถนนศรีนครินทร์ - ร่มเกล้า ช่วงที่ 3 ก่อสร้างถนนศรีนครินทร์ -ร่มเกล้า จากคลองลำสาลีถึงคลองวังใหม่ ด้วยวิธีการทางอิเล็กทรอนิกส์,จ้างก่อสร้าง,กรุงเทพมหานคร,สำนักการโยธา กรุงเทพมหานคร,ประกวดราคาด้วยวิธีการทางอิเล็กทรอนิกส์,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,1 ม.ค. 44,"795,800,000","795,800,000","795,800,000",2558,24 ก.ค. 58,กรุงเทพมหานคร,ดินแดง,ดินแดง,ระหว่างดำเนินการ,"{'lat': 13.7780980259196, 'lon': 100.565063509801}",POINT(100.56506350980077 13.778098025919627),0105519005001,บริษัท เอ็ม.ซี. คอนสตรัคชั่น (1979) จำกัด,สนย.53/2558,24 ก.ค. 58,-,"795,800,000",ระหว่างดำเนินการ
57055169373,ประกวดราคาเช่ารถบรรทุกน้ำอเนกประสงค์ ระยะที่ 4 จำนวน 120 คัน ด้วยวิธีการทางอิเล็กทรอนิกส์,เช่า,กรุงเทพมหานคร,สำนักงานสวนสาธารณะ สำนักสิ่งแวดล้อม กรุงเทพมหานคร,ประกวดราคาด้วยวิธีการทางอิเล็กทรอนิกส์,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,25 ก.ค. 57,"751,451,160","751,451,160","748,689,600",2558,22 ต.ค. 57,กรุงเทพมหานคร,ดินแดง,ดินแดง,ระหว่างดำเนินการ,"{'lat': 13.7780980259196, 'lon': 100.565063509801}",POINT(100.56506350980077 13.778098025919627),0105528040905,บริษัท อิทธิพรอิมปอร์ต จำกัด,สสล.2/2558,22 ต.ค. 57,1 ก.ค. 65,"748,689,600",ระหว่างดำเนินการ
58185000056,ประกวดราคาจ้างโครงการก่อสร้างถนนศรีนครินทร์-ร่มเกล้า ช่วงที่ 5 ก่อสร้างทางยกระดับข้ามทางหลวงหมายเลข 9 ด้วยวิธีการทางอิเล็กทรอนิกส์,จ้างก่อสร้าง,กรุงเทพมหานคร,สำนักการโยธา กรุงเทพมหานคร,ประกวดราคาด้วยวิธีการทางอิเล็กทรอนิกส์,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,1 ม.ค. 44,"667,890,950","667,890,950","667,890,950",2558,25 มิ.ย. 58,กรุงเทพมหานคร,ดินแดง,ดินแดง,ระหว่างดำเนินการ,"{'lat': 13.7780980259196, 'lon': 100.565063509801}",POINT(100.56506350980077 13.778098025919627),0103508002704,ห้างหุ้นส่วนจำกัด สามประสิทธิ์,สนย.40/2558,25 มิ.ย. 58,-,"667,890,950",ระหว่างดำเนินการ
58205000009,ประกวดราคาจ้างโครงการก่อสร้างถนนศรีนครินทร์ - ถนนร่มเกล้า ช่วงที่ 4 ก่อสร้างถนนศรีนครินทร์-ร่มเกล้า จากคลองวังใหม่ถึงทางหลวงหมายเลข 9 ด้วยวิธีการทางอิเล็กทรอนิกส์,จ้างก่อสร้าง,กรุงเทพมหานคร,สำนักการโยธา กรุงเทพมหานคร,ประกวดราคาด้วยวิธีการทางอิเล็กทรอนิกส์,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,1 ม.ค. 44,"584,400,000","584,400,000","584,400,000",2558,8 ก.ย. 58,กรุงเทพมหานคร,ดินแดง,ดินแดง,ระหว่างดำเนินการ,"{'lat': 13.7780980259196, 'lon': 100.565063509801}",POINT(100.56506350980077 13.778098025919627),0135536001778,บริษัท พรรณีวรกิจก่อสร้างและขนส่ง จำกัด,สนย.60/2558,8 ก.ย. 58,-,"584,400,000",ระหว่างดำเนินการ
